,F1-Score,Accuracy,Estimators,Split
560418,0.6857142857142857,0.8166666666666667,240.0,0.2
8974667,0.7741935483870968,0.8833333333333333,120.0,0.5
4641948,0.7428571428571428,0.85,60.0,0.6000000000000001
695430,0.717948717948718,0.8166666666666667,180.0,0.2
9584659,0.8095238095238095,0.8666666666666667,60.0,0.75
4523468,0.8125000000000001,0.9,60.0,0.45
6791969,0.8372093023255814,0.8833333333333333,80.0,0.35000000000000003
1431014,0.6153846153846153,0.8333333333333334,300.0,0.45
8956310,0.8571428571428572,0.9166666666666666,20.0,0.45
2482693,0.7857142857142857,0.9,20.0,0.5
