,F1-Score,Accuracy,Estimators,Split
9357538,0.857142857,0.9,20,0.45
3402565,0.857142857,0.9,60,0.5
9392494,0.857142857,0.916666667,340,0.35
9665300,0.857142857,0.916666667,80,0.25
5404125,0.857142857,0.9,20,0.35
8606152,0.857142857,0.9,60,0.35
6215066,0.857142857,0.9,60,0.5
3844653,0.857142857,0.9,40,0.5
1518969,0.857142857,0.933333333,40,0.2
7651242,0.857142857,0.933333333,100,0.2
7062478,0.857142857,0.9,20,0.45
2439481,0.857142857,0.9,140,0.25
723337,0.85106383,0.883333333,20,0.5
4988605,0.85106383,0.883333333,120,0.6
5179487,0.85106383,0.883333333,80,0.45
6229317,0.85106383,0.883333333,240,0.5
5659393,0.85106383,0.883333333,100,0.2
5348299,0.85,0.9,120,0.2
1709041,0.85,0.9,100,0.5
3432848,0.85,0.9,80,0.5
8345168,0.85,0.9,280,0.2
5639193,0.85,0.9,100,0.2
7605632,0.85,0.9,380,0.5
4888921,0.85,0.9,60,0.45
999997,0.85,0.9,40,0.5
4473130,0.85,0.9,40,0.5
2062723,0.85,0.9,60,0.5
3906391,0.848484848,0.916666667,60,0.05
6240711,0.848484848,0.916666667,20,0.6
9099404,0.848484848,0.916666667,260,0.7
7741793,0.848484848,0.916666667,120,0.45
1693467,0.848484848,0.916666667,40,0.35
9271226,0.848484848,0.916666667,80,0.05
7174227,0.848484848,0.916666667,80,0.25
2471059,0.848484848,0.916666667,20,0.5
9242804,0.846153846,0.933333333,20,0.45
5629447,0.844444444,0.883333333,60,0.75
1260165,0.844444444,0.883333333,260,0.5
6886047,0.844444444,0.883333333,20,0.5
5246382,0.844444444,0.883333333,20,0.35
3717572,0.844444444,0.883333333,40,0.45
8935120,0.844444444,0.883333333,240,0.5
2099169,0.844444444,0.883333333,320,0.5
9758912,0.842105263,0.9,60,0.35
7999129,0.842105263,0.9,100,0.25
1258284,0.842105263,0.9,80,0.35
4088614,0.842105263,0.9,60,0.45
1497602,0.842105263,0.9,140,0.2
1664717,0.842105263,0.9,20,0.25
6842159,0.842105263,0.9,140,0.5
7339477,0.842105263,0.9,100,0.5
4604251,0.842105263,0.9,20,0.5
1086183,0.842105263,0.9,40,0.35
8633977,0.842105263,0.9,60,0.5
9979038,0.842105263,0.9,80,0.95
3506418,0.84,0.866666667,80,0.5
675369,0.838709677,0.916666667,80,0.25
2589106,0.838709677,0.916666667,40,0.95
6948382,0.838709677,0.916666667,180,0.05
4955259,0.838709677,0.916666667,160,0.25
9840050,0.838709677,0.916666667,40,0.25
1285444,0.837209302,0.883333333,240,0.25
6597028,0.837209302,0.883333333,40,0.85
273892,0.837209302,0.883333333,200,0.45
7150644,0.837209302,0.883333333,160,0.5
5622360,0.837209302,0.883333333,180,0.5
887910,0.837209302,0.883333333,100,0.25
6631473,0.837209302,0.883333333,40,0.25
5052906,0.833333333,0.933333333,20,0.45
6821630,0.833333333,0.9,60,0.2
9615683,0.833333333,0.866666667,40,0.5
2323278,0.833333333,0.9,80,0.6
2985183,0.833333333,0.9,20,0.5
3707187,0.833333333,0.9,200,0.5
9399493,0.833333333,0.9,80,0.5
810284,0.833333333,0.933333333,20,0.25
8917758,0.833333333,0.9,80,0.45
7339096,0.833333333,0.9,60,0.25
6095593,0.833333333,0.9,60,0.2
5733994,0.833333333,0.933333333,20,0.2
1755813,0.833333333,0.9,60,0.25
4406882,0.833333333,0.9,40,0.25
8637347,0.833333333,0.9,100,0.2
8446303,0.833333333,0.9,80,0.45
7123980,0.833333333,0.866666667,40,0.45
3764397,0.833333333,0.9,20,0.5
3793050,0.833333333,0.866666667,120,0.2
725161,0.833333333,0.9,160,0.25
3012089,0.833333333,0.866666667,100,0.95
9058060,0.833333333,0.866666667,40,0.35
9842041,0.833333333,0.866666667,60,0.35
2227015,0.833333333,0.9,20,0.45
6929808,0.829268293,0.883333333,160,0.7
3798421,0.829268293,0.883333333,20,0.25
7391041,0.829268293,0.883333333,20,0.6
7474822,0.829268293,0.883333333,60,0.5
2779163,0.829268293,0.883333333,300,0.5
9618518,0.829268293,0.883333333,40,0.7
5855784,0.829268293,0.883333333,20,0.5
1414402,0.829268293,0.883333333,40,0.35
1182261,0.829268293,0.883333333,220,0.7
1674014,0.829268293,0.883333333,20,0.95
4223894,0.829268293,0.883333333,20,0.7
1625708,0.829268293,0.883333333,120,0.5
4664499,0.829268293,0.883333333,40,0.5
4133874,0.829268293,0.883333333,60,0.5
5730588,0.829268293,0.883333333,40,0.25
7762970,0.829268293,0.883333333,320,0.25
8992366,0.829268293,0.883333333,20,0.45
1428254,0.829268293,0.883333333,180,0.2
3636948,0.829268293,0.883333333,20,0.45
9322261,0.829268293,0.883333333,200,0.45
3019274,0.829268293,0.883333333,40,0.95
6061159,0.827586207,0.916666667,20,0.25
6070277,0.827586207,0.916666667,100,0.2
409223,0.827586207,0.916666667,60,0.35
2878342,0.826086957,0.866666667,20,0.5
4445068,0.826086957,0.866666667,20,0.5
7347430,0.826086957,0.866666667,40,0.25
6165267,0.826086957,0.866666667,40,0.35
3638136,0.826086957,0.866666667,60,0.45
8832697,0.826086957,0.866666667,140,0.35
1854324,0.826086957,0.866666667,20,0.85
2635620,0.823529412,0.85,20,0.75
2975481,0.823529412,0.85,120,0.6
9075402,0.823529412,0.9,20,0.2
3416046,0.823529412,0.9,300,0.5
7564848,0.823529412,0.9,80,0.2
4424594,0.823529412,0.9,280,0.2
3195955,0.823529412,0.9,60,0.25
1102581,0.823529412,0.9,80,0.25
5447275,0.823529412,0.9,40,0.25
6274032,0.823529412,0.9,60,0.5
3936654,0.823529412,0.9,40,0.2
9599461,0.823529412,0.9,80,0.95
3005049,0.823529412,0.9,200,0.2
4251736,0.823529412,0.9,100,0.5
8419651,0.823529412,0.9,20,0.5
9486317,0.823529412,0.9,280,0.2
5757393,0.823529412,0.9,20,0.2
7598483,0.823529412,0.9,180,0.45
4396154,0.823529412,0.9,40,0.5
6597632,0.823529412,0.9,40,0.5
6419891,0.823529412,0.9,120,0.05
5815541,0.820512821,0.883333333,100,0.25
1336194,0.820512821,0.883333333,20,0.7
5223869,0.820512821,0.883333333,40,0.2
6183656,0.820512821,0.883333333,80,0.5
6945572,0.820512821,0.883333333,20,0.35
1462315,0.820512821,0.883333333,200,0.45
9514905,0.820512821,0.883333333,100,0.25
9466388,0.820512821,0.883333333,120,0.35
824466,0.820512821,0.883333333,60,0.5
7275178,0.820512821,0.883333333,60,0.6
8472528,0.820512821,0.883333333,20,0.35
1762391,0.820512821,0.883333333,60,0.35
3888204,0.820512821,0.883333333,40,0.25
4561653,0.820512821,0.883333333,20,0.5
1433244,0.820512821,0.883333333,160,0.5
6436624,0.820512821,0.883333333,280,0.05
4068780,0.820512821,0.883333333,40,0.5
2708327,0.818181818,0.866666667,80,0.2
3261408,0.818181818,0.866666667,260,0.5
7118235,0.818181818,0.866666667,20,0.5
46941,0.818181818,0.866666667,280,0.25
1835320,0.818181818,0.866666667,180,0.45
2418228,0.818181818,0.866666667,40,0.5
9565508,0.818181818,0.866666667,80,0.2
3525333,0.818181818,0.866666667,140,0.2
5255878,0.818181818,0.866666667,40,0.5
7525269,0.818181818,0.866666667,80,0.45
3059039,0.816326531,0.85,40,0.6
9443720,0.816326531,0.85,20,0.85
1293116,0.814814815,0.916666667,60,0.6
698702,0.814814815,0.916666667,80,0.2
3448962,0.814814815,0.916666667,60,0.75
3797321,0.814814815,0.916666667,20,0.25
2400189,0.8125,0.9,160,0.2
5928691,0.8125,0.9,20,0.35
7038380,0.8125,0.9,40,0.2
5569834,0.8125,0.9,120,0.2
3880021,0.8125,0.9,140,0.05
8258472,0.8125,0.9,40,0.5
7255018,0.8125,0.9,20,0.5
25966,0.8125,0.9,320,0.45
594605,0.8125,0.9,20,0.45
4983588,0.810810811,0.883333333,100,0.5
4726674,0.810810811,0.883333333,20,0.5
5286913,0.810810811,0.883333333,20,0.25
9397264,0.810810811,0.883333333,60,0.25
4969288,0.810810811,0.883333333,60,0.5
27799,0.810810811,0.883333333,80,0.35
3486491,0.810810811,0.883333333,80,0.5
4372767,0.810810811,0.883333333,360,0.35
5270675,0.810810811,0.883333333,120,0.5
4380641,0.810810811,0.883333333,40,0.5
2007798,0.810810811,0.883333333,40,0.5
616143,0.810810811,0.883333333,180,0.35
3703704,0.810810811,0.883333333,140,0.25
900685,0.810810811,0.883333333,200,0.2
4997692,0.810810811,0.883333333,60,0.5
8864555,0.810810811,0.883333333,340,0.6
6711032,0.810810811,0.883333333,160,0.6
7356645,0.810810811,0.883333333,120,0.25
9960212,0.810810811,0.883333333,20,0.5
827894,0.810810811,0.883333333,60,0.45
7443625,0.810810811,0.883333333,80,0.5
1384496,0.810810811,0.883333333,140,0.25
9477907,0.810810811,0.883333333,20,0.35
5192258,0.810810811,0.883333333,360,0.5
5480068,0.80952381,0.866666667,60,0.5
6063616,0.80952381,0.866666667,20,0.6
2773591,0.80952381,0.866666667,60,0.25
8362704,0.80952381,0.866666667,40,0.25
5901052,0.80952381,0.866666667,100,0.2
8529669,0.80952381,0.866666667,180,0.35
6627261,0.80952381,0.866666667,20,0.5
3825403,0.80952381,0.866666667,20,0.7
7081702,0.80952381,0.866666667,20,0.5
5531415,0.80952381,0.866666667,60,0.5
8052819,0.80952381,0.866666667,200,0.5
8733931,0.80952381,0.866666667,60,0.45
4412231,0.80952381,0.866666667,80,0.25
5769998,0.80952381,0.866666667,40,0.45
4604908,0.80952381,0.866666667,100,0.7
646300,0.80952381,0.866666667,20,0.5
2482754,0.808510638,0.85,40,0.5
6832044,0.808510638,0.85,200,0.25
9676707,0.808510638,0.85,100,0.2
6609085,0.808510638,0.85,40,0.7
3414782,0.808510638,0.85,220,0.2
