,F1-Score,Accuracy,Estimators,Split
9470452,0.8095238095238095,0.8666666666666667,20.0,0.45
9798567,0.6666666666666667,0.8166666666666667,120.0,0.25
3811696,0.7894736842105263,0.8666666666666667,100.0,0.5
8793833,0.7222222222222222,0.8333333333333334,20.0,0.7000000000000001
7062802,0.7567567567567567,0.85,20.0,0.7000000000000001
4860872,0.85,0.9,20.0,0.5
2913105,0.7878787878787877,0.8833333333333333,20.0,0.75
102482,0.6451612903225806,0.8166666666666667,20.0,0.5
5154339,0.8421052631578947,0.9,40.0,0.5
7666315,0.8,0.9,120.0,0.25
6939905,0.8181818181818181,0.8666666666666667,100.0,0.2
9177075,0.8095238095238095,0.8666666666666667,20.0,0.5
9373118,0.742857142857143,0.85,120.0,0.6000000000000001
4920503,0.7878787878787877,0.8833333333333333,20.0,0.5
1576147,0.7333333333333334,0.8666666666666667,200.0,0.2
8865502,0.7647058823529411,0.8666666666666667,80.0,0.5
1055032,0.8648648648648649,0.9166666666666666,100.0,0.25
8577024,0.8823529411764706,0.9333333333333333,320.0,0.25
2419932,0.8275862068965518,0.9166666666666666,20.0,0.5
9750485,0.8421052631578948,0.9,100.0,0.05
1664283,0.8205128205128205,0.8833333333333333,120.0,0.45
6335779,0.7586206896551724,0.8833333333333333,20.0,0.2
5664173,0.7692307692307692,0.85,20.0,0.8500000000000001
8485813,0.8372093023255814,0.8833333333333333,100.0,0.5
6675812,0.689655172413793,0.85,20.0,0.05
7429655,0.717948717948718,0.8166666666666667,20.0,0.5
4574817,0.7567567567567567,0.85,20.0,0.75
4907987,0.7692307692307693,0.85,180.0,0.5
9262359,0.7692307692307693,0.85,40.0,0.6000000000000001
4805226,0.7272727272727274,0.85,80.0,0.75
1955747,0.7916666666666666,0.8333333333333334,80.0,0.75
7787764,0.7727272727272727,0.8333333333333334,160.0,0.5
6466505,0.8837209302325582,0.9166666666666666,60.0,0.45
3484845,0.8275862068965518,0.9166666666666666,20.0,0.25
515754,0.7333333333333333,0.8666666666666667,60.0,0.9500000000000001
7954475,0.7567567567567567,0.85,260.0,0.2
4463711,0.6470588235294118,0.8,240.0,0.5
4577855,0.7428571428571428,0.85,260.0,0.35000000000000003
710400,0.8372093023255814,0.8833333333333333,240.0,0.45
6224951,0.7058823529411765,0.8333333333333334,340.0,0.25
2518726,0.8235294117647058,0.9,80.0,0.6000000000000001
262177,0.7428571428571429,0.85,20.0,0.7000000000000001
982628,0.7999999999999999,0.85,20.0,0.5
2625278,0.7619047619047619,0.8333333333333334,20.0,0.45
4080758,0.7567567567567567,0.85,380.0,0.5
1020753,0.7142857142857143,0.8666666666666667,20.0,0.25
8214385,0.7999999999999999,0.8833333333333333,20.0,0.35000000000000003
724578,0.5625,0.7666666666666667,20.0,0.6000000000000001
9112382,0.6666666666666667,0.7833333333333333,20.0,0.5
643690,0.7804878048780488,0.85,140.0,0.2
5550629,0.6521739130434783,0.7333333333333333,40.0,0.45
6393405,0.8444444444444444,0.8833333333333333,20.0,0.6000000000000001
3999602,0.6153846153846153,0.8333333333333334,20.0,0.9500000000000001
3744941,0.7894736842105262,0.8666666666666667,160.0,0.45
8029556,0.8000000000000002,0.8666666666666667,360.0,0.25
2746658,0.8571428571428571,0.9,200.0,0.45
1596691,0.8333333333333333,0.8666666666666667,40.0,0.7000000000000001
8904983,0.7804878048780488,0.85,180.0,0.25
8818765,0.85,0.9,40.0,0.5
4665626,0.7222222222222222,0.8333333333333334,40.0,0.35000000000000003
6491001,0.8387096774193549,0.9166666666666666,40.0,0.5
2974142,0.7096774193548386,0.85,40.0,0.45
6020694,0.7826086956521738,0.8333333333333334,200.0,0.5
3894916,0.6428571428571429,0.8333333333333334,60.0,0.45
2990316,0.7826086956521738,0.9166666666666666,20.0,0.05
3944138,0.8888888888888888,0.9333333333333333,60.0,0.6000000000000001
1129844,0.7317073170731706,0.8166666666666667,60.0,0.25
8237918,0.7692307692307692,0.9,20.0,0.2
6308583,0.7567567567567567,0.85,40.0,0.2
8937527,0.7272727272727272,0.85,60.0,0.25
7683259,0.823529411764706,0.9,40.0,0.25
7959600,0.75,0.8666666666666667,60.0,0.2
6597579,0.888888888888889,0.9333333333333333,20.0,0.5
6620841,0.9142857142857143,0.95,320.0,0.5
8124497,0.6666666666666665,0.8,220.0,0.5
8948500,0.7826086956521738,0.9166666666666666,20.0,0.2
8069705,0.7878787878787877,0.8833333333333333,60.0,0.2
1856019,0.7619047619047619,0.8333333333333334,120.0,0.25
3549495,0.7368421052631577,0.8333333333333334,280.0,0.5
4238352,0.7567567567567567,0.85,160.0,0.25
5221569,0.85,0.9,60.0,0.45
3844655,0.6857142857142856,0.8166666666666667,160.0,0.45
9765890,0.7804878048780488,0.85,200.0,0.25
488001,0.8292682926829269,0.8833333333333333,240.0,0.45
2043442,0.7272727272727272,0.85,100.0,0.25
4892183,0.631578947368421,0.7666666666666667,40.0,0.45
5283123,0.7741935483870968,0.8833333333333333,40.0,0.2
2281090,0.9230769230769231,0.95,40.0,0.25
9100947,0.761904761904762,0.8333333333333334,360.0,0.25
5711199,0.7368421052631577,0.8333333333333334,40.0,0.2
6787749,0.7999999999999999,0.8833333333333333,140.0,0.5
9182982,0.7857142857142857,0.9,20.0,0.25
7877725,0.6111111111111112,0.7666666666666667,100.0,0.35000000000000003
7745915,0.7441860465116279,0.8166666666666667,60.0,0.25
4282836,0.7272727272727272,0.8,20.0,0.25
7961271,0.7368421052631579,0.8333333333333334,20.0,0.75
9421474,0.7272727272727272,0.85,60.0,0.5
8455586,0.8421052631578948,0.9,20.0,0.05
9525323,0.6842105263157895,0.8,20.0,0.25
625939,0.8823529411764706,0.9333333333333333,40.0,0.6000000000000001
